epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1510.93,1.36689,0.97286,1.18033,0.73351,0.68947,0.7432,0.45971,1.54929,1.07884,1.32394,0.000990365,0.000990365,0.000990365
43,1546.51,1.34035,0.95723,1.16899,0.76738,0.66765,0.73655,0.46074,1.4538,1.05842,1.27583,0.000973861,0.000973861,0.000973861
44,1581.88,1.33921,0.95198,1.15302,0.75832,0.65254,0.72887,0.463,1.48742,1.11794,1.29711,0.000957358,0.000957358,0.000957358
45,1617.33,1.34356,0.96593,1.16196,0.73346,0.68381,0.74181,0.47381,1.4618,1.07269,1.28639,0.000940855,0.000940855,0.000940855
46,1652.93,1.31274,0.93054,1.14411,0.72504,0.71539,0.75911,0.48023,1.45858,0.99646,1.28334,0.000924352,0.000924352,0.000924352
47,1688.57,1.32018,0.92806,1.14658,0.75422,0.69369,0.76131,0.49241,1.45481,1.02435,1.26804,0.000907848,0.000907848,0.000907848
48,1724.24,1.31762,0.92917,1.1432,0.77235,0.67535,0.74974,0.47892,1.45209,1.02272,1.27865,0.000891345,0.000891345,0.000891345
49,1759.43,1.29283,0.9015,1.13775,0.7669,0.65509,0.73878,0.46982,1.46915,1.06924,1.28834,0.000874842,0.000874842,0.000874842
50,1794.98,1.28808,0.8913,1.12421,0.75945,0.6862,0.76064,0.48402,1.4463,1.01492,1.28081,0.000858338,0.000858338,0.000858338
51,1830.2,1.27229,0.87271,1.12726,0.73542,0.71851,0.77906,0.49915,1.43868,0.97442,1.27499,0.000841835,0.000841835,0.000841835
52,1865.55,1.27441,0.87725,1.12808,0.76485,0.66677,0.73916,0.47484,1.45665,1.06331,1.28144,0.000825332,0.000825332,0.000825332
53,1900.62,1.2564,0.86744,1.11401,0.74528,0.69267,0.76459,0.49479,1.43934,1.03047,1.28204,0.000808828,0.000808828,0.000808828
54,1935.92,1.27204,0.87561,1.12632,0.7847,0.67254,0.76895,0.49031,1.45871,1.04582,1.29105,0.000792325,0.000792325,0.000792325
55,1971.29,1.25878,0.87629,1.12085,0.76489,0.68656,0.75643,0.48334,1.46492,1.01614,1.29314,0.000775822,0.000775822,0.000775822
56,2006.64,1.25759,0.85926,1.12028,0.74387,0.70306,0.76035,0.48788,1.44404,1.00847,1.28478,0.000759318,0.000759318,0.000759318
57,2041.92,1.23435,0.8473,1.10009,0.76116,0.70802,0.77601,0.49718,1.43047,0.98718,1.28243,0.000742815,0.000742815,0.000742815
58,2077.26,1.25239,0.85815,1.11929,0.76992,0.68393,0.76573,0.49436,1.4399,1.027,1.29195,0.000726312,0.000726312,0.000726312
