epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16016.1,1.16159,0.74392,1.14265,0.84662,0.74864,0.8132,0.52297,1.22004,0.74655,1.20976,0.007228,0.007228,0.007228
44,16388.1,1.16641,0.74764,1.1437,0.83677,0.75619,0.8124,0.52322,1.21998,0.74303,1.21097,0.007162,0.007162,0.007162
45,16759.3,1.15042,0.73194,1.1381,0.85425,0.74522,0.81396,0.52557,1.21631,0.73735,1.20702,0.007096,0.007096,0.007096
46,17130,1.15117,0.73222,1.13946,0.85029,0.74394,0.81449,0.52541,1.21495,0.73446,1.20818,0.00703,0.00703,0.00703
47,17500.6,1.15189,0.72906,1.13539,0.85774,0.74123,0.81684,0.52794,1.21281,0.73121,1.2076,0.006964,0.006964,0.006964
48,17872.2,1.14044,0.72607,1.13423,0.84596,0.75276,0.81742,0.52804,1.21012,0.72956,1.20602,0.006898,0.006898,0.006898
49,18244.1,1.13663,0.71442,1.13231,0.84592,0.75329,0.81657,0.52935,1.20788,0.7275,1.20709,0.006832,0.006832,0.006832
50,18615.6,1.13623,0.71557,1.13284,0.84823,0.74962,0.81601,0.52976,1.20694,0.72557,1.20851,0.006766,0.006766,0.006766
51,18987.2,1.12588,0.70926,1.12172,0.8451,0.75063,0.81586,0.53054,1.20287,0.72542,1.20518,0.0067,0.0067,0.0067
52,19358.3,1.12113,0.70452,1.1241,0.85062,0.74509,0.81724,0.53134,1.20171,0.7263,1.20623,0.006634,0.006634,0.006634
53,19729.5,1.11181,0.69878,1.12115,0.85376,0.74574,0.81751,0.53217,1.20241,0.72532,1.20737,0.006568,0.006568,0.006568
54,20101,1.11527,0.69278,1.11552,0.85046,0.74897,0.81691,0.53265,1.20201,0.72343,1.20677,0.006502,0.006502,0.006502
55,20472.9,1.10298,0.68917,1.11461,0.85126,0.74776,0.81758,0.53247,1.20307,0.72431,1.20714,0.006436,0.006436,0.006436
56,20844.9,1.10634,0.68871,1.11484,0.84746,0.74865,0.81729,0.53245,1.20208,0.72442,1.20655,0.00637,0.00637,0.00637
57,21217.5,1.10092,0.68415,1.11185,0.85228,0.74717,0.81714,0.5335,1.20042,0.72291,1.20599,0.006304,0.006304,0.006304
58,21589.2,1.08715,0.67664,1.10787,0.85265,0.74731,0.81725,0.53382,1.19942,0.72205,1.2058,0.006238,0.006238,0.006238
59,21960.3,1.08233,0.67064,1.10345,0.84754,0.75257,0.81734,0.53456,1.1982,0.72007,1.20556,0.006172,0.006172,0.006172
60,22332.6,1.08632,0.66829,1.10567,0.85178,0.75108,0.81761,0.53515,1.19827,0.71958,1.20569,0.006106,0.006106,0.006106
61,22705,1.08633,0.66724,1.09902,0.85766,0.74697,0.81842,0.53621,1.19677,0.71856,1.20445,0.00604,0.00604,0.00604
62,23076.9,1.07332,0.66543,1.09223,0.85701,0.74647,0.81776,0.53575,1.19676,0.71788,1.20476,0.005974,0.005974,0.005974
63,23448.6,1.06945,0.65279,1.09172,0.85463,0.74988,0.8181,0.5358,1.197,0.71792,1.20452,0.005908,0.005908,0.005908
64,23820.1,1.06586,0.6554,1.09108,0.8559,0.74857,0.81881,0.53589,1.1966,0.71668,1.20452,0.005842,0.005842,0.005842
65,24191.5,1.05928,0.65104,1.08838,0.85193,0.75196,0.81849,0.53563,1.19601,0.7164,1.20454,0.005776,0.005776,0.005776
66,24562.8,1.06282,0.64519,1.08451,0.85311,0.7519,0.8189,0.53629,1.19549,0.71642,1.20405,0.00571,0.00571,0.00571
67,24934.1,1.05841,0.64491,1.08473,0.85313,0.75054,0.81906,0.53673,1.19577,0.71602,1.20406,0.005644,0.005644,0.005644
68,25305.3,1.05367,0.64151,1.08619,0.85208,0.753,0.81887,0.53694,1.1949,0.71538,1.2033,0.005578,0.005578,0.005578
69,25677.6,1.04947,0.64003,1.08291,0.8514,0.75393,0.81887,0.53698,1.19445,0.71475,1.20299,0.005512,0.005512,0.005512
70,26049.9,1.04028,0.62948,1.07963,0.85353,0.75446,0.81948,0.53711,1.1943,0.71421,1.20289,0.005446,0.005446,0.005446
71,26422,1.03788,0.62359,1.07744,0.85271,0.75545,0.8193,0.53727,1.1942,0.71427,1.20309,0.00538,0.00538,0.00538
72,26794.7,1.0384,0.63383,1.07364,0.85313,0.75354,0.81922,0.53767,1.19419,0.714,1.20307,0.005314,0.005314,0.005314
73,27165.5,1.0384,0.62491,1.07406,0.85282,0.75556,0.81936,0.53737,1.19433,0.71367,1.20283,0.005248,0.005248,0.005248
74,27537.1,1.02495,0.6153,1.07382,0.8542,0.75418,0.81904,0.53789,1.1944,0.71314,1.20303,0.005182,0.005182,0.005182
75,27908.6,1.0185,0.61666,1.07453,0.8544,0.75525,0.81927,0.5378,1.19386,0.71264,1.20297,0.005116,0.005116,0.005116
76,28279.9,1.02089,0.61306,1.0666,0.85283,0.75642,0.81971,0.53792,1.19347,0.71213,1.20324,0.00505,0.00505,0.00505
77,28651.4,1.01092,0.60745,1.06771,0.85315,0.75564,0.81954,0.53836,1.19297,0.71184,1.20344,0.004984,0.004984,0.004984
78,29023.1,1.01568,0.60343,1.06962,0.85378,0.75499,0.81983,0.53824,1.19298,0.71152,1.2038,0.004918,0.004918,0.004918
